Date;Dernier;Ouv.;Plus Haut;Plus Bas;Vol.;Variation %
2011-08-31;114.85;113.85;115.19;113.52;212.63K;0.73%
2011-09-01;114.29;114.85;115.36;113.61;179.42K;-0.49%
2011-09-02;112.33;114.18;114.58;111.36;227.68K;-1.71%
2011-09-05;110.08;112.5;112.5;109.9;78.91K;-2,00%
2011-09-06;112.89;109.89;113.61;109.85;188.94K;2.55%
2011-09-07;115.8;113.41;116.5;112.7;193.49K;2.58%
2011-09-08;114.55;116.05;116.6;113.95;190.73K;-1.08%
2011-09-09;112.77;114.26;115.17;110.93;202.67K;-1.55%
2011-09-12;112.25;112.43;113.76;110.42;159.20K;-0.46%
2011-09-13;111.89;112.85;113.3;111.28;133.94K;-0.32%
2011-09-14;112.4;111.93;112.7;110.83;85.04K;0.46%
2011-09-15;115.34;112.41;116.1;111.75;17.01K;2.62%
2011-09-16;112.22;112.46;114.25;111.51;219.61K;-2.71%
2011-09-19;109.14;111.71;112.11;108.7;166.60K;-2.74%
2011-09-20;110.54;109.2;111.59;108.7;183.67K;1.28%
2011-09-21;110.36;110.25;112.44;108.92;207.91K;-0.16%
2011-09-22;105.49;109.5;109.5;104.85;305.83K;-4.41%
2011-09-23;103.97;105.36;107;103.43;244.21K;-1.44%
2011-09-26;103.94;103.61;105.34;101.66;200.58K;-0.03%
2011-09-27;107.14;104.77;107.54;104.5;219.79K;3.08%
2011-09-28;103.81;106.75;107.41;103.23;207.77K;-3.11%
2011-09-29;103.95;103;105.82;102.35;220.41K;0.13%
2011-09-30;102.76;104.91;104.91;101.78;243.64K;-1.14%
2011-10-03;101.71;102;102.8;100.59;203.33K;-1.02%
2011-10-04;99.79;100.65;102.41;99.11;264.83K;-1.89%
2011-10-05;102.73;101.81;102.84;100.66;215.94K;2.95%
2011-10-06;105.73;102.65;105.88;101.53;192.57K;2.92%
2011-10-07;105.88;105.4;106.64;104.37;170.25K;0.14%
2011-10-10;108.95;106.01;109.5;105.65;162.62K;2.9%
2011-10-11;110.73;108.85;111.24;107.45;180.79K;1.63%
2011-10-12;111.36;110.31;113;109.89;126.97K;0.57%
2011-10-13;111.11;111.1;111.87;109.07;59.12K;-0.22%
2011-10-14;114.68;111.15;114.8;110.96;19.21K;3.21%
2011-10-17;110.16;112.46;113.86;109.72;203.73K;-3.94%
2011-10-18;111.15;110.16;111.89;108.45;267.36K;0.9%
2011-10-19;108.39;111.07;111.85;108.12;250.46K;-2.48%
2011-10-20;109.76;108.5;110.17;107.31;277.56K;1.26%
2011-10-21;109.56;109.91;111.88;109.25;190.68K;-0.18%
2011-10-24;111.45;109.32;111.6;109.32;188.01K;1.73%
2011-10-25;110.92;111.55;112.15;109.47;256.19K;-0.48%
2011-10-26;108.91;110.85;111.78;108.76;205.83K;-1.81%
2011-10-27;112.08;109.5;112.79;109.5;238.41K;2.91%
2011-10-28;109.91;112.13;112.23;109.65;187.75K;-1.94%
2011-10-31;109.56;110.13;110.33;108.2;169.59K;-0.32%
2011-11-01;109.54;109.09;109.68;106.1;239.03K;-0.02%
2011-11-02;109.34;108.87;111.47;108.56;238.27K;-0.18%
2011-11-03;110.83;109.65;111.24;107.83;224.72K;1.36%
2011-11-04;111.97;110.79;112.48;110.3;178.39K;1.03%
2011-11-07;114.56;112.41;115.23;111.26;186.13K;2.31%
2011-11-08;115;114.6;116.48;114.2;224.85K;0.38%
2011-11-09;112.31;115.42;115.75;111.78;271.93K;-2.34%
2011-11-10;113.71;112.33;114.13;111.3;223.77K;1.25%
2011-11-11;114.16;113.07;114.91;113.06;132.50K;0.4%
2011-11-14;111.89;114.63;114.83;111.32;122.95K;-1.99%
2011-11-15;112.39;112.03;113.14;111.62;20.24K;0.45%
2011-11-16;111.88;112.2;112.5;110.14;271.00K;-0.45%
2011-11-17;108.22;110.85;111.98;107.76;255.72K;-3.27%
2011-11-18;107.56;107.53;109.99;106.97;207.45K;-0.61%
2011-11-21;106.88;107.46;107.74;105.65;183.50K;-0.63%
2011-11-22;109.03;106.62;109.45;106.62;215.45K;2.01%
2011-11-23;107.02;108.61;108.85;106.82;193.01K;-1.84%
2011-11-24;107.78;107.2;108.09;107.04;66.69K;0.71%
2011-11-25;106.4;107.5;107.79;105.85;128.59K;-1.28%
2011-11-28;109;106.73;109.49;106.63;209.09K;2.44%
2011-11-29;110.82;108.52;111;108.39;223.51K;1.67%
2011-11-30;110.52;110.8;112.03;109.65;231.07K;-0.27%
2011-12-01;108.99;110.75;111.24;108.18;182.39K;-1.38%
2011-12-02;109.94;109.09;110.41;108.62;151.95K;0.87%
2011-12-05;109.81;110.36;111.62;109.2;145.85K;-0.12%
2011-12-06;110.81;109.19;110.96;109.04;135.06K;0.91%
2011-12-07;109.53;110.7;111.49;109;167.44K;-1.16%
2011-12-08;108.11;109.6;110.67;107.28;172.10K;-1.3%
2011-12-09;108.62;107.66;108.99;107.11;159.31K;0.47%
2011-12-12;107.26;108.75;108.75;107;141.32K;-1.25%
2011-12-13;109.5;107.23;111.1;107.07;156.39K;2.09%
2011-12-14;105.02;109.47;109.5;104.36;98.85K;-4.09%
2011-12-15;105.09;104.88;106.5;104.88;14.33K;0.07%
2011-12-16;103.35;103.51;104.56;102.46;140.08K;-1.66%
2011-12-19;103.64;103.63;104.57;102.37;147.88K;0.28%
2011-12-20;106.73;104.3;107.27;103.91;170.24K;2.98%
2011-12-21;107.71;107.15;108.17;106.16;145.09K;0.92%
2011-12-22;107.89;107.92;108.5;107.29;111.16K;0.17%
2011-12-23;107.96;107.77;108.55;107.4;64.61K;0.06%
2011-12-27;109.27;108.16;109.5;107.85;50.68K;1.21%
2011-12-28;107.56;108.93;109.5;106.77;114.94K;-1.56%
2011-12-29;108.01;107.41;108.1;106.5;108.32K;0.42%
2011-12-30;107.38;108;108.25;106.62;87.14K;-0.58%
2012-01-03;112.13;108.35;112.44;108.35;178.62K;4.42%
2012-01-04;113.7;112.1;113.97;111.27;221.27K;1.4%
2012-01-05;112.74;113.5;114.64;112.1;205.41K;-0.84%
2012-01-06;113.06;112.85;113.68;112.03;190.83K;0.28%
2012-01-09;112.45;113.42;113.88;111.8;203.39K;-0.54%
2012-01-10;113.28;112.5;114.01;112.43;186.77K;0.74%
2012-01-11;112.24;113.12;113.76;112.11;191.80K;-0.92%
2012-01-12;111.26;112.84;115.12;110.31;148.85K;-0.87%
2012-01-13;110.44;111.21;112.5;109.71;108.35K;-0.74%
2012-01-16;111.2;110.7;111.67;110.49;15.27K;0.69%
2012-01-17;111.53;111.42;112.76;110.56;189.96K;0.3%
2012-01-18;110.66;111.46;112.2;110.33;213.90K;-0.78%
2012-01-19;111.55;111.1;111.75;110.37;173.95K;0.8%
2012-01-20;109.86;111.53;112.06;109.42;161.67K;-1.52%
2012-01-23;110.58;110.04;111.36;109.23;143.54K;0.66%
2012-01-24;110.03;110.84;111.11;109.7;178.43K;-0.5%
2012-01-25;109.81;110.22;110.89;108.91;234.59K;-0.2%
2012-01-26;110.79;110.45;111.89;110.27;195.03K;0.89%
2012-01-27;111.46;111;111.99;110.49;218.69K;0.6%
2012-01-30;110.75;111.5;111.78;110.25;163.79K;-0.64%
2012-01-31;110.98;110.98;113.9;110.5;238.21K;0.21%
2012-02-01;111.56;111.3;112.82;111.02;210.93K;0.52%
2012-02-02;112.07;111.51;112.56;111.04;213.05K;0.46%
2012-02-03;114.58;112.5;114.71;111.93;235.99K;2.24%
2012-02-06;115.93;114.58;116.68;113.65;212.32K;1.18%
2012-02-07;116.23;116.64;117.5;115.6;245.84K;0.26%
2012-02-08;117.2;116.01;117.97;115.9;217.97K;0.83%
2012-02-09;118.59;117.7;118.79;117.28;189.77K;1.19%
2012-02-10;117.31;118.61;118.61;116.29;169.31K;-1.08%
2012-02-13;117.93;117.69;118.61;117.35;120.61K;0.53%
2012-02-14;118.16;117.64;118.28;117;24.28K;0.2%
2012-02-15;118.93;117.44;119.99;117.4;223.49K;0.65%
2012-02-16;120.11;118.9;120.38;118.32;205.13K;0.99%
2012-02-17;119.58;120.13;120.7;118.85;183.83K;-0.44%
2012-02-20;120.05;120;121.15;119.8;64.82K;0.39%
2012-02-21;121.66;120.07;121.88;119.21;156.16K;1.34%
2012-02-22;122.9;121.5;123.23;121;180.94K;1.02%
2012-02-23;123.62;122.73;124.5;122.1;214.76K;0.59%
2012-02-24;125.47;124.01;125.55;123.3;146.86K;1.5%
2012-02-27;124.17;125.25;125.51;123;177.94K;-1.04%
2012-02-28;121.55;123.39;123.95;121.5;195.25K;-2.11%
2012-02-29;122.66;121.61;123.2;120.5;243.68K;0.91%
2012-03-01;126.2;123;128.4;122.49;260.75K;2.89%
2012-03-02;123.65;126.16;126.16;123.12;196.63K;-2.02%
2012-03-05;123.8;123.37;124.66;122.66;166.57K;0.12%
2012-03-06;121.98;124.39;124.39;121.59;233.27K;-1.47%
2012-03-07;124.12;122.19;124.45;121.99;199.25K;1.75%
2012-03-08;125.44;124.05;126.34;123.8;191.53K;1.06%
2012-03-09;125.98;125.48;126.37;124.69;140.59K;0.43%
2012-03-12;125.34;125.84;125.98;124.2;151.69K;-0.51%
2012-03-13;126.22;125.5;126.79;125;133.72K;0.7%
2012-03-14;124.97;126.12;126.68;124.64;106.67K;-0.99%
2012-03-15;123.55;125.12;125.35;120.97;20.33K;-1.14%
2012-03-16;125.81;122.55;126.16;122.45;159.88K;1.83%
2012-03-19;125.71;125.6;126.05;124.82;128.75K;-0.08%
2012-03-20;124.12;125.27;125.44;123.2;185.59K;-1.26%
2012-03-21;124.2;124.21;124.8;123.76;152.41K;0.06%
2012-03-22;123.14;124.04;124.25;122.3;189.19K;-0.85%
2012-03-23;125.13;123.3;127.06;123.1;207.43K;1.62%
2012-03-26;125.65;125.04;125.89;124.58;128.77K;0.42%
2012-03-27;125.54;125.74;126.18;124.91;211.60K;-0.09%
2012-03-28;124.16;125.18;125.18;123.53;212.67K;-1.1%
2012-03-29;122.39;124.23;124.64;121.37;224.42K;-1.43%
2012-03-30;122.88;122.6;124.07;122.58;185.19K;0.4%
2012-04-02;125.43;122.94;125.63;121.7;229.53K;2.08%
2012-04-03;124.86;125.3;125.97;124.3;197.65K;-0.45%
2012-04-04;122.34;124.88;124.99;122.3;250.19K;-2.02%
2012-04-05;123.43;122.54;123.54;121.8;183.56K;0.89%
2012-04-09;122.67;122.85;122.86;121.02;91.96K;-0.62%
2012-04-10;119.88;122.53;122.83;119.49;223.01K;-2.27%
2012-04-11;120.18;119.87;120.8;119.05;178.71K;0.25%
2012-04-12;121.71;120.14;121.92;119.28;125.98K;1.27%
2012-04-13;121.83;121.88;122;120.77;15.61K;0.1%
2012-04-16;118.68;121;121;118.2;232.83K;-2.59%
2012-04-17;118.78;118.53;119.34;117.98;248.48K;0.08%
2012-04-18;117.97;118.45;118.85;116.7;251.11K;-0.68%
2012-04-19;118;118.15;119.15;117.68;204.71K;0.03%
2012-04-20;118.76;118.01;119.69;117.87;178.70K;0.64%
2012-04-23;118.71;118.7;118.91;117.21;203.51K;-0.04%
2012-04-24;118.16;118.75;118.94;117.85;173.51K;-0.46%
2012-04-25;119.12;118.38;119.25;117.45;242.12K;0.81%
2012-04-26;119.92;119.05;120.17;118.78;225.24K;0.67%
2012-04-27;119.83;119.6;119.95;119.06;173.89K;-0.08%
2012-04-30;119.47;119.7;119.79;118.73;174.06K;-0.3%
2012-05-01;119.66;119.28;120.02;118.8;160.25K;0.16%
2012-05-02;118.2;119.7;119.8;117.64;216.22K;-1.22%
2012-05-03;116.08;118.2;118.45;115.92;231.99K;-1.79%
2012-05-04;113.18;115.91;116.29;111.76;323.77K;-2.5%
2012-05-07;113.16;112.8;113.5;110.34;159.88K;-0.02%
2012-05-08;112.73;113.16;113.64;110.53;252.43K;-0.38%
